name, date, cases
Adelanto ICE Processing Center - West,9-Apr-2020,
Adelanto ICE Processing Center - West,10-Apr-2020,
Adelanto ICE Processing Center - West,13-Apr-2020,
Adelanto ICE Processing Center - West,14-Apr-2020,
Adelanto ICE Processing Center - West,15--Apr-2020,
Adelanto ICE Processing Center - West,16-Apr-2020,
Adelanto ICE Processing Center - West,17-Apr-2020,
Adelanto ICE Processing Center - West,20-Apr-2020,
Adelanto ICE Processing Center - West,21-Apr-2020,
Adelanto ICE Processing Center - West,22-Apr-2020,
Adelanto ICE Processing Center - West,23-Apr-2020,
Adelanto ICE Processing Center - West,24-Apr-2020,
Adelanto ICE Processing Center - West,27-Apr-2020,
Adelanto ICE Processing Center - West,28-Apr-2020,
Adelanto ICE Processing Center - West,29-Apr-2020,
Adelanto ICE Processing Center - West,30-Apr-2020,
Adelanto ICE Processing Center - West,1-May-2020,
Adelanto ICE Processing Center - West,2-May-2020,
Adelanto ICE Processing Center - West,3-May-2020,
Adelanto ICE Processing Center - West,4-May-2020,
Adelanto ICE Processing Center - West,5-May-2020,
Adelanto ICE Processing Center - West,6-May-2020,
Adelanto ICE Processing Center - West,7-May-2020,
Adelanto ICE Processing Center - West,8-May-2020,
Allegany County Jail,3-Apr-2020,
Allegany County Jail,4-Apr-2020,
Allegany County Jail,7-Apr-2020,
Allegany County Jail,8-Apr-2020,
Allegany County Jail,9-Apr-2020,
Allegany County Jail,10-Apr-2020,
Allegany County Jail,13-Apr-2020,
Allegany County Jail,14-Apr-2020,
Allegany County Jail,15--Apr-2020,
Allegany County Jail,16-Apr-2020,
Allegany County Jail,17-Apr-2020,
Allegany County Jail,20-Apr-2020,
Allegany County Jail,21-Apr-2020,
Allegany County Jail,22-Apr-2020,
Allegany County Jail,23-Apr-2020,
Allegany County Jail,24-Apr-2020,
Allegany County Jail,27-Apr-2020,0
Allegany County Jail,28-Apr-2020,0
Allegany County Jail,29-Apr-2020,
Allegany County Jail,30-Apr-2020,
Allegany County Jail,1-May-2020,
Allegany County Jail,2-May-2020,
Allegany County Jail,3-May-2020,
Allegany County Jail,4-May-2020,
Allegany County Jail,5-May-2020,
Allegany County Jail,6-May-2020,
Allegany County Jail,7-May-2020,
Allegany County Jail,8-May-2020,
Aurora Contract Detention Facility,3-Apr-2020,
Aurora Contract Detention Facility,4-Apr-2020,
Aurora Contract Detention Facility,7-Apr-2020,
Aurora Contract Detention Facility,8-Apr-2020,
Aurora Contract Detention Facility,9-Apr-2020,
Aurora Contract Detention Facility,10-Apr-2020,
Aurora Contract Detention Facility,13-Apr-2020,
Aurora Contract Detention Facility,14-Apr-2020,
Aurora Contract Detention Facility,15--Apr-2020,
Aurora Contract Detention Facility,16-Apr-2020,
Aurora Contract Detention Facility,17-Apr-2020,
Aurora Contract Detention Facility,20-Apr-2020,
Aurora Contract Detention Facility,21-Apr-2020,
Aurora Contract Detention Facility,22-Apr-2020,
Aurora Contract Detention Facility,23-Apr-2020,
Aurora Contract Detention Facility,24-Apr-2020,
Aurora Contract Detention Facility,27-Apr-2020,
Aurora Contract Detention Facility,28-Apr-2020,
Aurora Contract Detention Facility,29-Apr-2020,
Aurora Contract Detention Facility,30-Apr-2020,
Aurora Contract Detention Facility,1-May-2020,
Aurora Contract Detention Facility,2-May-2020,
Aurora Contract Detention Facility,3-May-2020,
Aurora Contract Detention Facility,4-May-2020,
Aurora Contract Detention Facility,5-May-2020,
Aurora Contract Detention Facility,6-May-2020,
Aurora Contract Detention Facility,7-May-2020,
Aurora Contract Detention Facility,8-May-2020,
Baker County Facility,3-Apr-2020,
Baker County Facility,4-Apr-2020,
Baker County Facility,7-Apr-2020,
Baker County Facility,8-Apr-2020,
Baker County Facility,9-Apr-2020,
Baker County Facility,10-Apr-2020,
Baker County Facility,13-Apr-2020,
Baker County Facility,14-Apr-2020,
Baker County Facility,15--Apr-2020,
Baker County Facility,16-Apr-2020,
Baker County Facility,17-Apr-2020,
Baker County Facility,20-Apr-2020,
Baker County Facility,21-Apr-2020,
Baker County Facility,22-Apr-2020,
Baker County Facility,23-Apr-2020,
Baker County Facility,24-Apr-2020,
Baker County Facility,27-Apr-2020,
Baker County Facility,28-Apr-2020,
Baker County Facility,29-Apr-2020,
Baker County Facility,30-Apr-2020,
Baker County Facility,1-May-2020,
Baker County Facility,2-May-2020,
Baker County Facility,3-May-2020,
Baker County Facility,4-May-2020,
Baker County Facility,5-May-2020,
Baker County Facility,6-May-2020,
Baker County Facility,7-May-2020,
Baker County Facility,8-May-2020,
Bedford Heights City Jail,3-Apr-2020,
Bedford Heights City Jail,4-Apr-2020,
Bedford Heights City Jail,7-Apr-2020,
Bedford Heights City Jail,8-Apr-2020,
Bedford Heights City Jail,9-Apr-2020,
Bedford Heights City Jail,10-Apr-2020,
Bedford Heights City Jail,13-Apr-2020,
Bedford Heights City Jail,14-Apr-2020,
Bedford Heights City Jail,15--Apr-2020,
Bedford Heights City Jail,16-Apr-2020,
Bedford Heights City Jail,17-Apr-2020,
Bedford Heights City Jail,20-Apr-2020,
Bedford Heights City Jail,21-Apr-2020,
Bedford Heights City Jail,22-Apr-2020,
